id;email;tag;first_name;last_name;birth_date;minimal_age;maximal_age
5d4f9dc62d66;f44789e0-6a33-407e-bf01-5d4f9dc62d66@gmail.com;f44789e0-6a33-407e-bf01-5d4f9dc62d66;f44789e0-6a33-407e;bf01-5d4f9dc62d66;12-12-1957;18;57
2229f69f0e18;8e25ae70-4271-4a8d-b715-2229f69f0e18@gmail.com;8e25ae70-4271-4a8d-b715-2229f69f0e18;8e25ae70-4271-4a8d;b715-2229f69f0e18;27-11-1963;22;61
b02d453f9e5d;4440f78a-c04d-481c-83d5-b02d453f9e5d@gmail.com;4440f78a-c04d-481c-83d5-b02d453f9e5d;4440f78a-c04d-481c;83d5-b02d453f9e5d;11-10-1999;19;60
64910e55c893;bc8fb80c-73e1-4b27-a942-64910e55c893@gmail.com;bc8fb80c-73e1-4b27-a942-64910e55c893;bc8fb80c-73e1-4b27;a942-64910e55c893;19-12-1982;25;58
2daa4c63c793;e492ebcf-2aad-4994-9f2c-2daa4c63c793@gmail.com;e492ebcf-2aad-4994-9f2c-2daa4c63c793;e492ebcf-2aad-4994;9f2c-2daa4c63c793;27-11-1988;23;68
bb91671e0579;e971fc9f-7f85-4ccc-8b57-bb91671e0579@gmail.com;e971fc9f-7f85-4ccc-8b57-bb91671e0579;e971fc9f-7f85-4ccc;8b57-bb91671e0579;20-11-1966;25;59
d974e5233941;3dbf2898-2db1-4ed4-8bc0-d974e5233941@gmail.com;3dbf2898-2db1-4ed4-8bc0-d974e5233941;3dbf2898-2db1-4ed4;8bc0-d974e5233941;17-12-1975;19;59
7fda892e7bbe;e3d1611c-44be-4926-8def-7fda892e7bbe@gmail.com;e3d1611c-44be-4926-8def-7fda892e7bbe;e3d1611c-44be-4926;8def-7fda892e7bbe;13-10-1971;22;58
a1a60da141b6;4c859084-3122-4fec-a475-a1a60da141b6@gmail.com;4c859084-3122-4fec-a475-a1a60da141b6;4c859084-3122-4fec;a475-a1a60da141b6;22-11-1995;20;58
dedb0e441ff7;1f30b8ae-1a09-4d70-b3e5-dedb0e441ff7@gmail.com;1f30b8ae-1a09-4d70-b3e5-dedb0e441ff7;1f30b8ae-1a09-4d70;b3e5-dedb0e441ff7;11-10-1996;21;59
833df8b0af51;fc44c22e-098f-4c26-9773-833df8b0af51@gmail.com;fc44c22e-098f-4c26-9773-833df8b0af51;fc44c22e-098f-4c26;9773-833df8b0af51;26-12-1956;21;68
a606680c916b;8d4de2da-328b-4aa9-9296-a606680c916b@gmail.com;8d4de2da-328b-4aa9-9296-a606680c916b;8d4de2da-328b-4aa9;9296-a606680c916b;18-10-1958;24;60
d048aeb76208;08c16e6a-095a-4f82-9adb-d048aeb76208@gmail.com;08c16e6a-095a-4f82-9adb-d048aeb76208;08c16e6a-095a-4f82;9adb-d048aeb76208;10-11-1954;20;55
7af8bfc973c5;8b4d82e8-b13c-4252-8cfc-7af8bfc973c5@gmail.com;8b4d82e8-b13c-4252-8cfc-7af8bfc973c5;8b4d82e8-b13c-4252;8cfc-7af8bfc973c5;25-11-1959;20;70
3b3db5962613;87fc344d-8521-488a-85a3-3b3db5962613@gmail.com;87fc344d-8521-488a-85a3-3b3db5962613;87fc344d-8521-488a;85a3-3b3db5962613;23-11-1965;23;65
cc767de8a765;9ea8fb02-c6e1-438a-896f-cc767de8a765@gmail.com;9ea8fb02-c6e1-438a-896f-cc767de8a765;9ea8fb02-c6e1-438a;896f-cc767de8a765;18-10-1978;23;64
1a79fcf6cd15;210cefbb-a6f5-4d18-a6ad-1a79fcf6cd15@gmail.com;210cefbb-a6f5-4d18-a6ad-1a79fcf6cd15;210cefbb-a6f5-4d18;a6ad-1a79fcf6cd15;13-12-1967;21;63
e2a84cf8c64a;cef4736b-df50-4fdf-8762-e2a84cf8c64a@gmail.com;cef4736b-df50-4fdf-8762-e2a84cf8c64a;cef4736b-df50-4fdf;8762-e2a84cf8c64a;12-12-1996;21;60
d37d644f68f4;10c34db1-943e-4c04-bca8-d37d644f68f4@gmail.com;10c34db1-943e-4c04-bca8-d37d644f68f4;10c34db1-943e-4c04;bca8-d37d644f68f4;11-10-1992;18;57
59600f68e394;fbfca31a-7193-4746-af94-59600f68e394@gmail.com;fbfca31a-7193-4746-af94-59600f68e394;fbfca31a-7193-4746;af94-59600f68e394;18-10-1997;24;56
a6207c6d76a1;c9903e46-cf8d-48a5-a4fd-a6207c6d76a1@gmail.com;c9903e46-cf8d-48a5-a4fd-a6207c6d76a1;c9903e46-cf8d-48a5;a4fd-a6207c6d76a1;17-11-1977;19;55
4b28e5e6e1ac;b92d8f01-d527-4d2f-ab21-4b28e5e6e1ac@gmail.com;b92d8f01-d527-4d2f-ab21-4b28e5e6e1ac;b92d8f01-d527-4d2f;ab21-4b28e5e6e1ac;20-11-2000;23;68
c143ca22b8be;4d0f79aa-38c9-491c-b4f8-c143ca22b8be@gmail.com;4d0f79aa-38c9-491c-b4f8-c143ca22b8be;4d0f79aa-38c9-491c;b4f8-c143ca22b8be;10-10-1958;24;60
488797be1475;24d36070-4d90-47f9-b8b8-488797be1475@gmail.com;24d36070-4d90-47f9-b8b8-488797be1475;24d36070-4d90-47f9;b8b8-488797be1475;23-12-1980;19;68
94fd3ad1058c;b071d0aa-3994-49fa-b968-94fd3ad1058c@gmail.com;b071d0aa-3994-49fa-b968-94fd3ad1058c;b071d0aa-3994-49fa;b968-94fd3ad1058c;12-12-1957;18;57
61c9c2a73bb2;a9867bcc-49b1-4b80-a7db-61c9c2a73bb2@gmail.com;a9867bcc-49b1-4b80-a7db-61c9c2a73bb2;a9867bcc-49b1-4b80;a7db-61c9c2a73bb2;27-11-1963;20;63
b67c38f213eb;590b2201-0914-4af8-9e47-b67c38f213eb@gmail.com;590b2201-0914-4af8-9e47-b67c38f213eb;590b2201-0914-4af8;9e47-b67c38f213eb;11-10-1999;21;70
62dc3dec9339;f56277d4-b443-49e7-9933-62dc3dec9339@gmail.com;f56277d4-b443-49e7-9933-62dc3dec9339;f56277d4-b443-49e7;9933-62dc3dec9339;19-12-1982;22;69
018cf1447ee0;3588204c-a88b-4222-bf40-018cf1447ee0@gmail.com;3588204c-a88b-4222-bf40-018cf1447ee0;3588204c-a88b-4222;bf40-018cf1447ee0;27-11-1988;19;55
2129d8337358;abdb5d0c-d43c-4c83-a3fc-2129d8337358@gmail.com;abdb5d0c-d43c-4c83-a3fc-2129d8337358;abdb5d0c-d43c-4c83;a3fc-2129d8337358;20-11-1966;19;60
585bfad0f579;b428c4d3-cdbb-40e6-9cc4-585bfad0f579@gmail.com;b428c4d3-cdbb-40e6-9cc4-585bfad0f579;b428c4d3-cdbb-40e6;9cc4-585bfad0f579;17-12-1975;23;67
13aef73a922b;97a0092b-5cc6-4d39-898b-13aef73a922b@gmail.com;97a0092b-5cc6-4d39-898b-13aef73a922b;97a0092b-5cc6-4d39;898b-13aef73a922b;13-10-1971;20;70
a4a8dc16e6db;335854a1-e3de-4707-a553-a4a8dc16e6db@gmail.com;335854a1-e3de-4707-a553-a4a8dc16e6db;335854a1-e3de-4707;a553-a4a8dc16e6db;22-11-1995;24;61
951c729b0b8c;bbb86d0a-08df-481c-9b59-951c729b0b8c@gmail.com;bbb86d0a-08df-481c-9b59-951c729b0b8c;bbb86d0a-08df-481c;9b59-951c729b0b8c;11-10-1996;20;57
45deaaa86ecd;14140db1-5286-4545-bc96-45deaaa86ecd@gmail.com;14140db1-5286-4545-bc96-45deaaa86ecd;14140db1-5286-4545;bc96-45deaaa86ecd;26-12-1956;24;64
d7e776ca5f3d;33ac8572-4e61-4a1f-a74c-d7e776ca5f3d@gmail.com;33ac8572-4e61-4a1f-a74c-d7e776ca5f3d;33ac8572-4e61-4a1f;a74c-d7e776ca5f3d;18-10-1958;19;63
4330ff6919d0;e897700a-edea-4150-872b-4330ff6919d0@gmail.com;e897700a-edea-4150-872b-4330ff6919d0;e897700a-edea-4150;872b-4330ff6919d0;10-11-1954;24;70
5774cca45bd1;9d697a51-d636-4c8b-ba43-5774cca45bd1@gmail.com;9d697a51-d636-4c8b-ba43-5774cca45bd1;9d697a51-d636-4c8b;ba43-5774cca45bd1;25-11-1959;25;63
5108f06d0690;8077ed69-e5cb-490f-8b70-5108f06d0690@gmail.com;8077ed69-e5cb-490f-8b70-5108f06d0690;8077ed69-e5cb-490f;8b70-5108f06d0690;23-11-1965;20;57
7d74c1ac175e;abbfca5e-34d0-41d4-b531-7d74c1ac175e@gmail.com;abbfca5e-34d0-41d4-b531-7d74c1ac175e;abbfca5e-34d0-41d4;b531-7d74c1ac175e;18-10-1978;22;61
